Submitted job with ID: 43340.master_ubss1
[gkh] iter=25 total_blocks=11 lens=[990,1,1,1,1,1,1,1,1,1,1] non_singleton=1
[gkh] iter=26 total_blocks=12 lens=[989,1,1,1,1,1,1,1,1,1,1,1] non_singleton=1
[gkh] iter=27 total_blocks=12 lens=[989,1,1,1,1,1,1,1,1,1,1,1] non_singleton=1
[gkh] iter=28 total_blocks=13 lens=[988,1,1,1,1,1,1,1,1,1,1,1,1] non_singleton=1
[gkh] iter=29 total_blocks=13 lens=[988,1,1,1,1,1,1,1,1,1,1,1,1] non_singleton=1
[gkh] iter=30 total_blocks=14 lens=[987,1,1,1,1,1,1,1,1,1,1,1,1,1] non_singleton=1
[gkh] iter=31 total_blocks=14 lens=[987,1,1,1,1,1,1,1,1,1,1,1,1,1] non_singleton=1
[gkh] iter=32 total_blocks=15 lens=[986,1,1,1,1,1,1,1,1,1,1,1,1,1,1] non_singleton=1
[gkh] iter=33 total_blocks=15 lens=[986,1,1,1,1,1,1,1,1,1,1,1,1,1,1] non_singleton=1
[gkh] iter=34 total_blocks=16 lens=[985,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1] non_singleton=1
[gkh] iter=35 total_blocks=16 lens=[985,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1] non_singleton=1
[gkh] iter=36 total_blocks=17 lens=[984,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1] non_singleton=1
[gkh] iter=37 total_blocks=17 lens=[984,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1] non_singleton=1
[gkh] iter=38 total_blocks=18 lens=[983,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1] non_singleton=1
[gkh] iter=39 total_blocks=18 lens=[983,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1] non_singleton=1
[gkh] iter=40 total_blocks=18 lens=[983,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1] non_singleton=1
[gkh] iter=41 total_blocks=18 lens=[983,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1] non_singleton=1
[gkh] iter=42 total_blocks=19 lens=[982,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1] non_singleton=1
[gkh] iter=43 total_blocks=19 lens=[982,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1] non_singleton=1
[gkh] iter=44 total_blocks=20 lens=[981,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1] non_singleton=1
[gkh] iter=45 total_blocks=20 lens=[981,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1] non_singleton=1
[gkh] iter=46 total_blocks=21 lens=[980,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1] non_singleton=1
[gkh] iter=47 total_blocks=22 lens=[979,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1] non_singleton=1
[gkh] iter=48 total_blocks=22 lens=[979,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1] non_singleton=1
[gkh] iter=49 total_blocks=23 lens=[978,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1] non_singleton=1
[gkh] iter=50 total_blocks=23 lens=[978,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1] non_singleton=1
[gkh] iter=51 total_blocks=23 lens=[978,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1] non_singleton=1
[gkh] iter=52 total_blocks=24 lens=[977,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1] non_singleton=1
[gkh] iter=53 total_blocks=24 lens=[977,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1] non_singleton=1
